nro_operacion,nro_socio,qy_fechaproc,nro_oficina,tipo_operacion,estado_op,cod_destino_op,destino_op,cod_actividad,actividad_socio,fecha_concesion_op,fecha_fin_op,fecha_ult_pag,monto_credito,saldo_capital,saldo_por_vencer,saldo_no_devenga,saldo_vencido,int_normal,int_devengado,int_vencido,int_resolucion,int_castigado,int_mora,tipo_cartera,plazo,nro_cuotas,tipo_plazo,tasa_int_con,tasa_int_vig,tgarantia,valgarantias,fecha_garantias,calificacion,dia_pago,dias_mora,nro_cuotas_atra,val_capd,val_intd,val_morad,val_notd,val_gnot2d,val_intresd
9000000000,2000000,2026-05-18,48,CRVIVIENDA,VIGENTE,ED,EDUCACION,S960201,PELUQUERIA Y OTROS TRATAMIENTOS DE BELLEZA,2024-02-03,2025-07-27,2026-01-21,5180.48,3852.76,3137.81,0.00,714.95,35.48,35.48,6.58,0.00,0.00,14.30,MICROCREDITO,18,18,M,11.05,11.05,PAG,11281.70,2024-02-03,A2,20,15,0,714.95,6.58,14.30,0.00,3.57,0.00
9000000001,2000001,2026-05-18,69,MICROCRED,VIGENTE,ED,EDUCACION,S960201,PELUQUERIA Y OTROS TRATAMIENTOS DE BELLEZA,2026-01-28,2030-01-07,2026-03-02,29188.20,16431.78,15539.43,0.00,892.35,196.77,196.77,10.69,0.00,0.00,17.85,INMOBILIARIO,48,48,M,14.37,14.37,VIV,58327.86,2026-01-28,A1,11,19,0,892.35,10.69,17.85,0.00,4.46,0.00
9000000002,2000002,2026-05-18,48,PFSC,VIGENTE,CV,COMPRA DE VEHICULO,H492201,TRANSPORTE DE PASAJEROS POR CARRETERA,2025-07-06,2026-12-28,2026-01-05,5184.53,1640.55,1640.55,0.00,0.00,19.66,19.66,0.00,0.00,0.00,0.00,MICROCREDITO,18,18,M,14.38,14.38,VIV,8564.92,2025-07-06,A1,18,0,0,0.00,0.00,0.00,0.00,0.00,0.00
9000000003,2000003,2026-05-18,5,PFSC,VIGENTE,CV,COMPRA DE VEHICULO,I561001,ACTIVIDADES DE RESTAURANTES Y SERVICIO MOVIL DE COMIDAS,2022-07-12,2028-06-10,2022-07-15,3313.62,2272.70,2272.70,0.00,0.00,22.99,22.99,0.00,0.00,0.00,0.00,MICROCREDITO,72,72,M,12.14,12.14,VIV,4366.08,2022-07-12,E,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00
9000000004,2000004,2026-05-18,20,PFMC,VIGENTE,RP,PAGO DE DEUDAS VARIAS,S960201,PELUQUERIA Y OTROS TRATAMIENTOS DE BELLEZA,2025-02-26,2031-01-26,2025-11-20,20435.72,9986.99,9460.64,299.61,526.35,126.67,126.67,6.68,0.00,0.00,10.53,CONSUMO,72,72,M,15.22,15.22,QUI,48759.15,2025-02-26,A1,11,58,1,526.35,6.68,10.53,0.00,2.63,0.00
9000000005,2000005,2026-05-18,69,PFSC,VIGENTE,ED,EDUCACION,I561001,ACTIVIDADES DE RESTAURANTES Y SERVICIO MOVIL DE COMIDAS,2023-10-26,2026-10-10,2024-12-29,11666.83,6267.32,5874.19,0.00,393.13,55.88,55.88,3.51,0.00,0.00,7.86,MICROCREDITO,36,36,M,10.7,10.7,QUI,22677.29,2023-10-26,A1,28,5,0,393.13,3.51,7.86,0.00,1.97,0.00
9000000006,2000006,2026-05-18,41,PFMC,CASTIGADO,ED,EDUCACION,A011301,CULTIVO DE HORTALIZAS Y LEGUMBRES,2026-03-02,2032-01-30,2026-03-10,25673.99,20788.93,20788.93,0.00,0.00,316.16,316.16,0.00,0.00,0.00,0.00,INMOBILIARIO,72,72,M,18.25,18.25,VIV,58294.69,2026-03-02,C1,6,0,0,0.00,0.00,0.00,0.00,0.00,0.00
9000000007,2000007,2026-05-18,20,PFSC,VENCIDO,CV,COMPRA DE VEHICULO,I561001,ACTIVIDADES DE RESTAURANTES Y SERVICIO MOVIL DE COMIDAS,2025-03-01,2028-02-14,2025-05-27,21369.81,5339.63,5339.63,0.00,0.00,75.56,75.56,0.00,0.00,0.00,0.00,CONSUMO,36,36,M,16.98,16.98,QUI,22928.02,2025-03-01,A1,27,0,0,0.00,0.00,0.00,0.00,0.00,0.00
9000000008,2000008,2026-05-18,48,PFSC,VIGENTE,RP,PAGO DE DEUDAS VARIAS,I561001,ACTIVIDADES DE RESTAURANTES Y SERVICIO MOVIL DE COMIDAS,2024-02-01,2026-01-21,2024-10-12,25358.79,17841.85,15994.76,0.00,1847.09,224.96,224.96,23.29,0.00,0.00,36.94,MICROCREDITO,24,24,M,15.13,15.13,VIV,37146.02,2024-02-01,A2,24,1,0,1847.09,23.29,36.94,0.00,9.24,0.00
9000000009,2000009,2026-05-18,41,PFMC,VIGENTE,MV,MEJORA DE VIVIENDA,S960201,PELUQUERIA Y OTROS TRATAMIENTOS DE BELLEZA,2022-09-08,2025-08-23,2023-08-19,16146.02,10663.45,10663.45,0.00,0.00,144.67,144.67,0.00,0.00,0.00,0.00,CONSUMO,36,36,M,16.28,16.28,VIV,17390.30,2022-09-08,A1,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00
